"Date","Open","High","Low","Close"
"28 Jan 2019","27041.45","27134.20","26587.95","26653.05"
"25 Jan 2019","27261.45","27433.55","27045.20","27115.30"
"24 Jan 2019","27273.50","27342.35","27142.80","27266.40"
"23 Jan 2019","27493.10","27564.70","27189.60","27250.75"
"22 Jan 2019","27526.55","27533.35","27385.40","27482.25"
"21 Jan 2019","27514.55","27622.20","27388.50","27533.60"
"18 Jan 2019","27550.05","27576.45","27410.65","27456.70"
"17 Jan 2019","27568.60","27611.55","27335.15","27528.75"
"16 Jan 2019","27405.65","27554.75","27403.05","27483.70"
"15 Jan 2019","27317.55","27447.55","27317.10","27400.75"
"14 Jan 2019","27389.20","27389.80","27182.20","27248.25"
"11 Jan 2019","27602.80","27612.45","27382.45","27453.90"
"10 Jan 2019","27713.55","27713.55","27488.20","27528.55"
"09 Jan 2019","27651.25","27754.45","27409.50","27720.40"
"08 Jan 2019","27301.90","27542.40","27161.95","27509.50"
"07 Jan 2019","27378.65","27477.80","27279.55","27304.55"
"04 Jan 2019","26999.70","27274.50","26926.10","27195.00"
"03 Jan 2019","27181.60","27206.20","26923.75","26959.85"
"02 Jan 2019","27297.00","27397.55","27077.60","27174.70"
"01 Jan 2019","27231.40","27430.55","27019.05","27392.40"
"31 Dec 2018","27267.80","27286.50","27105.00","27160.20"
"28 Dec 2018","27048.40","27213.45","27039.60","27125.25"
"27 Dec 2018","27200.65","27239.95","26845.10","26878.55"
"26 Dec 2018","26634.00","27029.15","26408.15","26986.80"
"24 Dec 2018","26877.05","26934.85","26676.95","26714.75"
"21 Dec 2018","27261.25","27369.10","26823.10","26869.65"
"20 Dec 2018","27128.65","27309.10","27084.50","27275.10"
"19 Dec 2018","27229.05","27364.35","27214.30","27298.40"
"18 Dec 2018","26917.30","27210.05","26840.80","27174.70"
"17 Dec 2018","26915.45","27051.40","26908.60","27015.80"
"14 Dec 2018","26810.85","26909.00","26732.70","26826.00"
"13 Dec 2018","26844.15","26951.45","26723.65","26816.35"
"12 Dec 2018","26286.25","26672.70","26214.75","26643.85"
"11 Dec 2018","25602.25","26227.90","25598.95","26163.40"
"10 Dec 2018","26073.65","26336.20","26072.00","26102.65"
"07 Dec 2018","26307.40","26659.70","26252.10","26594.30"
"06 Dec 2018","26339.10","26359.90","26149.45","26198.30"
"05 Dec 2018","26572.10","26627.35","26443.65","26519.60"
"04 Dec 2018","26809.50","26843.80","26644.75","26693.80"
"03 Dec 2018","27032.90","27037.10","26791.65","26857.55"
"30 Nov 2018","27009.30","27012.70","26764.90","26862.95"
"29 Nov 2018","26641.60","27003.75","26577.15","26939.60"
"28 Nov 2018","26489.65","26584.95","26419.65","26457.95"
"27 Nov 2018","26286.10","26491.25","26268.65","26443.10"
"26 Nov 2018","26096.00","26396.60","26025.05","26365.60"
"22 Nov 2018","26233.65","26323.95","25947.85","25999.45"
"21 Nov 2018","26105.45","26342.05","26060.55","26262.05"
"20 Nov 2018","26211.50","26259.40","26041.80","26113.35"
"19 Nov 2018","26364.60","26379.10","26204.35","26300.70"
"16 Nov 2018","26205.35","26332.75","26122.55","26245.55"
"15 Nov 2018","25946.20","26197.60","25728.00","26154.75"
"14 Nov 2018","25952.40","26045.05","25806.70","25930.15"
"13 Nov 2018","25422.00","25796.50","25384.55","25768.60"
"12 Nov 2018","25816.15","25907.20","25495.10","25539.75"
"09 Nov 2018","25742.55","25822.75","25598.75","25771.00"
"07 Nov 2018","25818.10","25824.40","25698.10","25737.50"
"06 Nov 2018","25747.40","25860.75","25558.35","25598.00"
"05 Nov 2018","25731.55","25788.20","25534.40","25732.20"
"02 Nov 2018","25545.35","25856.25","25499.15","25701.65"
"01 Nov 2018","25285.20","25401.60","25129.45","25323.65"
"31 Oct 2018","24823.80","25201.30","24528.35","25153.25"
"30 Oct 2018","24924.75","25121.50","24686.85","24807.75"
"29 Oct 2018","24647.95","25023.75","24404.55","24959.70"
"26 Oct 2018","24771.85","24771.95","24353.10","24421.05"
"25 Oct 2018","24841.50","24977.35","24696.85","24817.45"
"24 Oct 2018","25312.70","25356.90","24839.65","25064.20"
"23 Oct 2018","24786.90","25124.60","24784.90","24972.45"
"22 Oct 2018","25484.25","25504.75","25021.35","25078.60"
"19 Oct 2018","24966.50","25277.90","24922.65","25085.80"
"17 Oct 2018","25839.10","25915.35","25101.95","25188.60"
"16 Oct 2018","25414.20","25707.05","25351.80","25589.65"
"15 Oct 2018","25444.00","25466.20","25147.80","25388.05"
"12 Oct 2018","25001.95","25484.20","24975.45","25395.85"
"11 Oct 2018","24541.75","24940.10","24493.70","24783.95"
"10 Oct 2018","24596.60","25371.15","24559.90","25321.70"
"09 Oct 2018","24703.65","24759.90","24464.90","24527.65"
"08 Oct 2018","24470.75","24745.35","24240.05","24618.35"
"05 Oct 2018","24741.65","25080.20","24250.65","24443.45"
"04 Oct 2018","24735.15","24893.40","24501.05","24819.30"
"03 Oct 2018","25290.55","25470.05","25026.35","25069.90"
"01 Oct 2018","24943.90","25412.15","24707.65","25367.00"
"28 Sep 2018","25135.80","25354.70","24919.25","25119.85"
"27 Sep 2018","25442.10","25452.50","25007.05","25042.15"
"26 Sep 2018","25525.10","25525.10","25197.35","25376.30"
"25 Sep 2018","24947.70","25406.95","24678.25","25330.35"
"24 Sep 2018","25645.05","25649.70","24904.50","24970.35"
"21 Sep 2018","26331.05","26490.40","25053.35","25596.90"
"19 Sep 2018","26532.00","26611.60","26235.70","26277.35"
"18 Sep 2018","26757.00","26901.05","26407.45","26441.45"
"17 Sep 2018","27002.60","27002.60","26743.40","26820.30"
"14 Sep 2018","27059.85","27205.75","26989.80","27163.85"
"12 Sep 2018","26895.15","26895.15","26555.15","26819.20"
"11 Sep 2018","27295.20","27318.45","26772.25","26807.50"
"10 Sep 2018","27395.20","27404.85","27142.55","27201.75"
"07 Sep 2018","27439.25","27512.50","27232.80","27481.45"
"06 Sep 2018","27464.25","27552.80","27246.25","27468.70"
"05 Sep 2018","27409.30","27506.30","27136.05","27376.05"
"04 Sep 2018","27845.55","27875.15","27385.85","27430.75"
"03 Sep 2018","28199.45","28203.20","27777.40","27819.50"
"31 Aug 2018","27998.00","28157.35","27940.95","28061.75"
"30 Aug 2018","28233.70","28233.70","27961.75","28103.25"
"29 Aug 2018","28233.40","28344.10","28167.80","28224.10"
"28 Aug 2018","28379.90","28388.65","28152.70","28269.65"
"27 Aug 2018","27971.25","28317.75","27958.20","28264.20"
"24 Aug 2018","27954.25","28122.75","27782.80","27834.70"
"23 Aug 2018","28321.95","28325.45","27965.35","28027.90"
"21 Aug 2018","28295.85","28305.95","28151.90","28257.90"
"20 Aug 2018","28171.65","28322.30","28171.65","28274.25"
"17 Aug 2018","27991.75","28178.15","27953.80","28128.55"
"16 Aug 2018","27836.15","28013.10","27779.50","27826.55"
"14 Aug 2018","27864.40","28053.05","27854.90","28021.70"
"13 Aug 2018","27760.80","27911.85","27739.50","27794.40"
"10 Aug 2018","28348.95","28377.90","28087.65","28124.25"
"09 Aug 2018","28173.65","28363.40","28132.00","28320.00"
"08 Aug 2018","27930.55","28128.65","27858.75","28062.45"
"07 Aug 2018","27972.95","27988.20","27827.30","27875.90"
"06 Aug 2018","27769.55","27994.00","27766.05","27898.50"
"03 Aug 2018","27471.95","27723.00","27448.15","27695.50"
